filename,local_time
KAMX20100501_233152_V03,20100501_193152
KAMX20100501_234143_V03,20100501_194143
KAMX20100501_235135_V03,20100501_195135
KAMX20100502_000128_V03,20100501_200128
KAMX20100502_001120_V03,20100501_201120
KAMX20100502_002112_V03,20100501_202112
KAMX20100502_003106_V03,20100501_203106
KAMX20100502_004058_V03,20100501_204058
KAMX20100502_005051_V03,20100501_205051
KAMX20100502_232534_V03,20100502_192534
KAMX20100502_233525_V03,20100502_193525
KAMX20100502_234617_V03,20100502_194617
KAMX20100502_235610_V03,20100502_195610
KAMX20100503_000603_V03,20100502_200603
KAMX20100503_001555_V03,20100502_201555
KAMX20100503_002548_V03,20100502_202548
KAMX20100503_003540_V03,20100502_203540
KAMX20100503_004533_V03,20100502_204533
KAMX20100503_233030_V03,20100503_193030
KAMX20100503_234023_V03,20100503_194023
KAMX20100503_235015_V03,20100503_195015
KAMX20100504_000102_V03,20100503_200102
KAMX20100504_001054_V03,20100503_201054
KAMX20100504_002046_V03,20100503_202046
KAMX20100504_003038_V03,20100503_203038
KAMX20100504_004031_V03,20100503_204031
KAMX20100504_005024_V03,20100503_205024
KAMX20100504_232644_V03,20100504_192644
KAMX20100504_233637_V03,20100504_193637
KAMX20100504_234628_V03,20100504_194628
KAMX20100504_235620_V03,20100504_195620
KAMX20100505_000613_V03,20100504_200613
KAMX20100505_001703_V03,20100504_201703
KAMX20100505_002654_V03,20100504_202654
KAMX20100505_003647_V03,20100504_203647
KAMX20100505_004639_V03,20100504_204639
KAMX20100505_232642_V03,20100505_192642
KAMX20100505_233101_V03,20100505_193101
KAMX20100505_233520_V03,20100505_193520
KAMX20100505_233940_V03,20100505_193940
KAMX20100505_234359_V03,20100505_194359
KAMX20100505_234819_V03,20100505_194819
KAMX20100505_235237_V03,20100505_195237
KAMX20100505_235657_V03,20100505_195657
KAMX20100506_000117_V03,20100505_200117
KAMX20100506_000537_V03,20100505_200537
KAMX20100506_000957_V03,20100505_200957
KAMX20100506_001416_V03,20100505_201416
KAMX20100506_001932_V03,20100505_201932
KAMX20100506_002351_V03,20100505_202351
KAMX20100506_002811_V03,20100505_202811
KAMX20100506_003231_V03,20100505_203231
KAMX20100506_003650_V03,20100505_203650
KAMX20100506_004109_V03,20100505_204109
KAMX20100506_004530_V03,20100505_204530
KAMX20100506_004950_V03,20100505_204950
KAMX20100506_005407_V03,20100505_205407
KAMX20100506_232520_V03,20100506_192520
KAMX20100506_232938_V03,20100506_192938
KAMX20100506_233358_V03,20100506_193358
KAMX20100506_233818_V03,20100506_193818
KAMX20100506_234241_V03,20100506_194241
KAMX20100506_234659_V03,20100506_194659
KAMX20100506_235121_V03,20100506_195121
KAMX20100506_235540_V03,20100506_195540
KAMX20100507_000002_V03,20100506_200002
KAMX20100507_000421_V03,20100506_200421
KAMX20100507_000840_V03,20100506_200840
KAMX20100507_001300_V03,20100506_201300
KAMX20100507_001719_V03,20100506_201719
KAMX20100507_002138_V03,20100506_202138
KAMX20100507_002558_V03,20100506_202558
KAMX20100507_003017_V03,20100506_203017
KAMX20100507_003534_V03,20100506_203534
KAMX20100507_003954_V03,20100506_203954
KAMX20100507_004413_V03,20100506_204413
KAMX20100507_004836_V03,20100506_204836
KAMX20100507_005256_V03,20100506_205256
KAMX20100507_232555_V03,20100507_192555
KAMX20100507_233149_V03,20100507_193149
KAMX20100507_233741_V03,20100507_193741
KAMX20100507_234332_V03,20100507_194332
KAMX20100507_234925_V03,20100507_194925
KAMX20100507_235517_V03,20100507_195517
KAMX20100508_000110_V03,20100507_200110
KAMX20100508_000702_V03,20100507_200702
KAMX20100508_001255_V03,20100507_201255
KAMX20100508_001847_V03,20100507_201847
KAMX20100508_002440_V03,20100507_202440
KAMX20100508_003032_V03,20100507_203032
KAMX20100508_003627_V03,20100507_203627
KAMX20100508_004318_V03,20100507_204318
KAMX20100508_004911_V03,20100507_204911
KAMX20100508_005503_V03,20100507_205503
KAMX20100508_232630_V03,20100508_192630
KAMX20100508_233050_V03,20100508_193050
KAMX20100508_233508_V03,20100508_193508
KAMX20100508_233928_V03,20100508_193928
KAMX20100508_234346_V03,20100508_194346
KAMX20100508_234805_V03,20100508_194805
KAMX20100508_235225_V03,20100508_195225
KAMX20100508_235646_V03,20100508_195646
KAMX20100509_000105_V03,20100508_200105
KAMX20100509_000524_V03,20100508_200524
KAMX20100509_000947_V03,20100508_200947
KAMX20100509_001408_V03,20100508_201408
KAMX20100509_001828_V03,20100508_201828
KAMX20100509_002247_V03,20100508_202247
KAMX20100509_002707_V03,20100508_202707
KAMX20100509_003127_V03,20100508_203127
KAMX20100509_003548_V03,20100508_203548
KAMX20100509_004009_V03,20100508_204009
KAMX20100509_004428_V03,20100508_204428
KAMX20100509_004847_V03,20100508_204847
KAMX20100509_005403_V03,20100508_205403
KAMX20100509_232929_V03,20100509_192929
KAMX20100509_233525_V03,20100509_193525
KAMX20100509_234516_V03,20100509_194516
KAMX20100509_235507_V03,20100509_195507
KAMX20100510_000458_V03,20100509_200458
KAMX20100510_001448_V03,20100509_201448
KAMX20100510_002438_V03,20100509_202438
KAMX20100510_003428_V03,20100509_203428
KAMX20100510_004021_V03,20100509_204021
KAMX20100510_004615_V03,20100509_204615
KAMX20100510_005209_V03,20100509_205209
KAMX20100510_232845_V03,20100510_192845
KAMX20100510_233439_V03,20100510_193439
KAMX20100510_234033_V03,20100510_194033
KAMX20100510_234629_V03,20100510_194629
KAMX20100510_235224_V03,20100510_195224
KAMX20100510_235819_V03,20100510_195819
KAMX20100511_000414_V03,20100510_200414
KAMX20100511_001006_V03,20100510_201006
KAMX20100511_001600_V03,20100510_201600
KAMX20100511_002153_V03,20100510_202153
KAMX20100511_002745_V03,20100510_202745
KAMX20100511_003338_V03,20100510_203338
KAMX20100511_003932_V03,20100510_203932
KAMX20100511_004525_V03,20100510_204525
KAMX20100511_005117_V03,20100510_205117
KAMX20100511_005710_V03,20100510_205710
KAMX20100511_233340_V03,20100511_193340
KAMX20100511_233933_V03,20100511_193933
KAMX20100511_234525_V03,20100511_194525
KAMX20100511_235118_V03,20100511_195118
KAMX20100511_235711_V03,20100511_195711
KAMX20100512_000303_V03,20100511_200303
KAMX20100512_000857_V03,20100511_200857
KAMX20100512_001451_V03,20100511_201451
KAMX20100512_002044_V03,20100511_202044
KAMX20100512_002639_V03,20100511_202639
KAMX20100512_003235_V03,20100511_203235
KAMX20100512_003829_V03,20100511_203829
KAMX20100512_004422_V03,20100511_204422
KAMX20100512_005015_V03,20100511_205015
KAMX20100512_005608_V03,20100511_205608
KAMX20100512_233258_V03,20100512_193258
KAMX20100512_234251_V03,20100512_194251
KAMX20100512_235243_V03,20100512_195243
KAMX20100513_000236_V03,20100512_200236
KAMX20100513_001228_V03,20100512_201228
KAMX20100513_002221_V03,20100512_202221
KAMX20100513_003214_V03,20100512_203214
KAMX20100513_004206_V03,20100512_204206
KAMX20100513_005159_V03,20100512_205159
KAMX20100513_232856_V03,20100513_192856
KAMX20100513_233848_V03,20100513_193848
KAMX20100513_234840_V03,20100513_194840
KAMX20100513_235834_V03,20100513_195834
KAMX20100514_000827_V03,20100513_200827
KAMX20100514_001820_V03,20100513_201820
KAMX20100514_002812_V03,20100513_202812
KAMX20100514_003805_V03,20100513_203805
KAMX20100514_004757_V03,20100513_204757
KAMX20100514_005750_V03,20100513_205750
KAMX20100514_233012_V03,20100514_193012
KAMX20100514_233606_V03,20100514_193606
KAMX20100514_234158_V03,20100514_194158
KAMX20100514_234752_V03,20100514_194752
KAMX20100514_235347_V03,20100514_195347
KAMX20100514_235941_V03,20100514_195941
KAMX20100515_000533_V03,20100514_200533
KAMX20100515_001126_V03,20100514_201126
KAMX20100515_001721_V03,20100514_201721
KAMX20100515_002313_V03,20100514_202313
KAMX20100515_002906_V03,20100514_202906
KAMX20100515_003459_V03,20100514_203459
KAMX20100515_004054_V03,20100514_204054
KAMX20100515_004647_V03,20100514_204647
KAMX20100515_005240_V03,20100514_205240
KAMX20100515_005836_V03,20100514_205836
KAMX20100515_233250_V03,20100515_193250
KAMX20100515_233843_V03,20100515_193843
KAMX20100515_234436_V03,20100515_194436
KAMX20100515_235029_V03,20100515_195029
KAMX20100515_235623_V03,20100515_195623
KAMX20100516_000216_V03,20100515_200216
KAMX20100516_000810_V03,20100515_200810
KAMX20100516_001405_V03,20100515_201405
KAMX20100516_001958_V03,20100515_201958
KAMX20100516_002551_V03,20100515_202551
KAMX20100516_003145_V03,20100515_203145
KAMX20100516_003739_V03,20100515_203739
KAMX20100516_004332_V03,20100515_204332
KAMX20100516_004926_V03,20100515_204926
KAMX20100516_005520_V03,20100515_205520
KAMX20100516_233037_V03,20100516_193037
KAMX20100516_233455_V03,20100516_193455
KAMX20100516_233915_V03,20100516_193915
KAMX20100516_234336_V03,20100516_194336
KAMX20100516_234757_V03,20100516_194757
KAMX20100516_235217_V03,20100516_195217
KAMX20100516_235636_V03,20100516_195636
KAMX20100517_000055_V03,20100516_200055
KAMX20100517_000514_V03,20100516_200514
KAMX20100517_000935_V03,20100516_200935
KAMX20100517_001354_V03,20100516_201354
KAMX20100517_001814_V03,20100516_201814
